geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US17031843500,"Census Tract 8435, Cook, IL",10528,1505,8013,1041,1079,232,6920,1113,0,19,14,18,0,19,0,19,0,19,0,19,0,19,2515,582,1563,403,24,25,12,21,0,19,0,19,408,245,508,397,488,389,20,29
14000US17031843600,"Census Tract 8436, Cook, IL",3188,481,3024,489,105,89,2871,505,0,12,10,15,0,12,38,60,0,12,0,12,0,12,164,170,34,37,130,170,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US17031843700,"Census Tract 8437, Cook, IL",2482,404,1986,391,1401,372,87,94,0,12,204,105,0,12,0,12,294,183,136,146,158,87,496,152,322,124,0,12,0,12,0,12,0,12,51,48,123,86,89,91,34,47
14000US17031843800,"Census Tract 8438, Cook, IL",1425,310,1206,251,442,166,618,215,0,12,102,122,0,12,0,12,44,48,0,12,44,48,219,155,73,72,10,17,0,12,0,12,0,12,8,10,128,146,128,146,0,12
14000US17031843900,"Census Tract 8439, Cook, IL",3288,683,3155,664,224,177,2765,653,19,34,73,63,0,12,0,12,74,69,0,12,74,69,133,155,34,39,0,12,0,12,0,12,0,12,99,152,0,12,0,12,0,12
14000US17031844600,"Census Tract 8446, Cook, IL",2490,971,2464,971,113,73,2188,982,0,12,0,12,23,35,0,12,140,188,0,12,140,188,26,27,5,11,5,12,0,12,0,12,0,12,16,22,0,12,0,12,0,12
14000US17031844700,"Census Tract 8447, Cook, IL",1573,320,1136,293,56,48,1080,289,0,12,0,12,0,12,0,12,0,12,0,12,0,12,437,167,58,53,12,13,0,12,0,12,0,12,222,137,145,73,145,73,0,12
14000US17031980000,"Census Tract 9800, Cook, IL",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US17031980100,"Census Tract 9801, Cook, IL",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US17043840000,"Census Tract 8400, DuPage, IL",2898,412,1085,202,856,206,71,101,0,12,121,109,0,12,0,12,37,40,0,12,37,40,1813,369,825,294,0,12,35,51,0,12,0,12,669,273,284,246,284,246,0,12
14000US17043840801,"Census Tract 8408.01, DuPage, IL",2590,407,1371,354,1288,364,10,10,0,12,73,68,0,12,0,12,0,12,0,12,0,12,1219,253,383,207,0,12,10,16,0,12,46,69,584,233,196,151,196,151,0,12
16000US1714000,"Chicago, IL",2742119,137,1954324,6696,907499,5853,788673,5737,1730,417,185202,4273,494,209,9051,1201,61675,2698,8892,1323,52783,2655,787795,6682,335369,7566,12680,1211,11659,1735,2555,527,559,245,283670,7734,141303,6577,126032,6357,15271,1381
